player_name,keeper_id,ids,best_score
A.J. Lawson,1630639,7880;1630639;UNKNOWN;7660;GHOST;9815,12
AJ Green,28728852047,28728852047;10815;32234;4435;9911;1797;UNKNOWN;10063;GHOST;4231;9165;2321;31959;8579;5893;808;3405;3147;2906;374;4992;10347;7364;1631260;1577;1277;4101;6306;149;5307;6126;5655;7060;3619;6591;2143;9464;32682,11
AJ Johnson,1642358,1571;UNKNOWN;2726;2160;9366;1642358;10822;1840;32161;784;10309;8591;947040385789;9781;2526;113;7491;6034;32804;31910;32571;4312,11
Aaron Gordon,203932,2698;3885;3610;4583;32307;2253;1455;2955;UNKNOWN;GHOST;346;32886;1771;5133;1174;4265;203932;28978111729;716,11
Aaron Holiday,28598307499,32484;9649;10046;1024;UNKNOWN;7006;2222;7465;9758;GHOST;32100;8874;8623;28598307499;8429;10415;4800;32698;5743;1628988;7601;31743;4067;6412;2582;1903;6008;4367;5136;3749;6728;7954,11
Aaron Nesmith,28458892047,3583;UNKNOWN;10089;GHOST;32220;1436;329;31860;28458892047;2126;1630174;10433;841;3942;10704;697;1874;32622;32902;1636;3109;2575,11
Aaron Wiggins,28288809047,32350;UNKNOWN;GHOST;10197;8595;1566;9693;7746;7894;10478;32839;1246;28288809047;6485;10804;2669;318;2446;8177;32287;632;6;9664;1940;6887;31801;1630598;7451;1092,11
Ace Bailey,1642846,6178;9057;32829;948843331189;5708;1974;2838;UNKNOWN;8411;1642846;GHOST;1726;3950;1406;5503;3580;1079;8083;5166;6416;7246;8692;7168;9271;9955;2197;7749;9577;6732;4415;507;3441;2462;193;4707,11
Adem Bona,1641737,3245;958;32156;1641737;2484;UNKNOWN;31779;8890;GHOST;10559;4009;10189;7123;2354;3013;293;6135;947747521869;32454;32822;6500;8814;3554;741;1220;9874;1652;7396;9394;1987;6786,11
Adou Thiero,1642876,6753;9759;4235;1642876;9053;5809;10294;6558;7929;7739;7230;UNKNOWN;10626;4693;7145;GHOST;8730;9563,11
Ajay Mitchell,1642349,2670;32827;1555;9297;UNKNOWN;1936;5929;GHOST;6890;4198;8592;628;7758;5521;31787;3559;8189;7454;1642349;4864;10838;3837;1275;32333;1089;3193;5167;2442;4602;6479;27;10188;942949535539;10481;314;32274;7907;8851;6143;2947,11
Al Horford,201143,9717;28556362792;5185;32693;4607;31804;UNKNOWN;7137;GHOST;3272;201143;1868;32417;353;10652;2638;1582;10200;4334;1284;3779;4141;26,12
Alex Caruso,1627936,10830;32286;UNKNOWN;7883;9;GHOST;3832;10193;4189;3534;4853;5140;3180;8854;8180;9699;31800;6138;1253;28868008399;5482;1617;10532;5946;2937;1627936;1954;2444;9584;8608,11
Alex Sarr,1642259,1837;2240;5761;3343;UNKNOWN;927;GHOST;32164;32807;116;4319;501;1642259;9355;1211;10250;2981;2530;8981;32575;31914;6027;8580;949541715989;3760;2728;10811;1614;9823;10339;5290,11
Alijah Martin,1642918,7854;7661;1642918;94694296527;UNKNOWN;GHOST;32138,10
Alperen Sengun,1630578,9736;7986;9192;13;2236;6003;UNKNOWN;8872;GHOST;7007;9628;3746;479;32111;8653;5157;6742;8459;940649430339;31757;4359;1021;4072;1630578;6418;2810;4801;3159;1908;1353;5693;2579,11
Amari Williams,1642873,94464915527;458;1642873;5836;1900;UNKNOWN;6850;7203;GHOST;6444,11
Amen Thompson,948047414489,9751;1350;32493;11;3158;2574;7982;UNKNOWN;1882;GHOST;2231;10127;948047414489;32706;7598;4360;6409;7009;2807;4794;31758;1017;9185;1641708;5698;8643;5169;8426;8877;6005;477;9652;7369;32112;6727;10439;4071;3759,11
Amir Coffey,1629599,4224;154;1803;UNKNOWN;2147;811;3157;GHOST;377;3673;9456;7939;1629599;2329;9897;1254;6320;28138596399;7536;5654;7340;5312;2868;1585;8251;3417,11
Andre Drummond,203083,4486;6781;2474;3020;7136;1649;UNKNOWN;307;963;GHOST;4745;31772;8844;3240;9383;10195;5797;8911;3528;32812;6020;9883;1227;4994;8274;7740;5380;7425;3996;203083;28668759882;6501;2016;689;8060,11
Andre Jackson Jr.,1641748,5342;UNKNOWN;GHOST;9894;9446;7937;8247;148;3674;5646;2323;807;6311;94544296527;1641748;7560;7342;4227;4091,11
Andrew Nembhard,1629614,6280;4741;6630;1629614;10522;94174482047;9853;3267;10700;UNKNOWN;3118;GHOST;8540;8085;8362;5010;31852;7777;32212;5559;5880;7433;9484;4220;4483;3575;6952;10073;32616;331;3961;9207;8944,11
Andrew Wiggins,203952,443;9128;1612;3091;4799;UNKNOWN;203952;GHOST;31686;32560;91;2091;9809;5876;7570;10383;3701;3391;4005;32251;8375;8557;9400;2910;7848;2617;1240;7078;32015;4510;7242;824;28258111729;2302;10111;6663;6337,11
Anfernee Simons,28468846789,298;8388;8793;2750;5023;8895;6819;UNKNOWN;2190;1645;10302;3724;4281;GHOST;5387;32876;3553;767;7956;7206;6450;7652;10593;3223;4653;28468846789;1905;32059;32466;6252;31728;9219;5842;7092;466;1375;1629014;9834;2536;1065,11
Anthony Black,1641710,32587;1541;32730;8664;10359;31906;10011;7236;7853;4358;1641710;4925;UNKNOWN;638;GHOST;1337;4615;968;8172;367;949540311869;10699;9618;5424;1846;3984;50;5232;3301;9844;3696;9054;6674;2752;2383;3337;32225;7635;6075;5775;6960;9318,11
Anthony Davis,203076,6723;UNKNOWN;1467;6205;1109;7441;203076;9239;9733;285;31780;8900;492;32928;8107;9498;8662;32115;28368759882;883;7614;7075;32537,11
