player,game_date,signal,season_fg,season_min,l5_fg,l5_min,n5_fg,deviation,regression_occurred,filter_status
AJ Green,2025-11-29,SELL_HIGH,0.488,29.2,0.581,34.6,0.581,19.0,False,PASSED
AJ Green,2025-12-01,SELL_HIGH,0.494,29.0,0.591,32.0,0.5,19.7,True,PASSED
AJ Green,2025-12-01,SELL_HIGH,0.497,29.1,0.591,31.0,0.421,18.9,True,PASSED
AJ Green,2025-12-03,SELL_HIGH,0.5,29.1,0.632,29.4,0.378,26.3,True,PASSED
AJ Green,2025-12-03,SELL_HIGH,0.5,29.4,0.632,29.6,0.333,26.3,True,PASSED
AJ Green,2025-12-05,SELL_HIGH,0.5,29.6,0.581,33.0,0.192,16.3,True,PASSED
AJ Green,2025-12-18,BUY_LOW,0.487,28.9,0.378,26.8,0.182,-22.4,False,PASSED
AJ Green,2025-12-21,BUY_LOW,0.486,28.8,0.333,23.6,0.268,-31.4,False,PASSED
AJ Green,2025-12-23,BUY_LOW,0.466,28.5,0.219,24.0,0.38,-53.1,True,PASSED
AJ Green,2025-12-26,BUY_LOW,0.462,28.5,0.182,24.4,0.4,-60.6,True,PASSED
AJ Green,2025-12-26,BUY_LOW,0.464,28.6,0.268,26.6,0.349,-42.2,True,PASSED
AJ Green,2025-12-27,BUY_LOW,0.466,28.7,0.37,29.0,0.289,-20.8,False,PASSED
AJ Green,2025-12-27,BUY_LOW,0.461,28.7,0.383,30.0,0.324,-17.0,False,PASSED
AJ Green,2025-12-29,BUY_LOW,0.456,28.7,0.38,30.4,0.341,-16.7,False,PASSED
AJ Green,2025-12-31,BUY_LOW,0.453,28.6,0.349,29.0,0.292,-23.0,False,PASSED
AJ Green,2025-12-31,BUY_LOW,0.452,28.7,0.289,28.8,0.239,-35.9,False,PASSED
AJ Green,2026-01-02,BUY_LOW,0.45,28.8,0.324,30.0,0.261,-28.0,False,PASSED
AJ Green,2026-01-02,BUY_LOW,0.446,29.0,0.341,32.6,0.293,-23.5,False,PASSED
AJ Green,2026-01-09,BUY_LOW,0.434,29.3,0.293,33.0,0.538,-32.6,True,PASSED
Aaron Holiday,2025-12-15,SELL_HIGH,0.457,16.9,0.535,19.6,0.273,17.0,True,PASSED
Aaron Holiday,2025-12-18,SELL_HIGH,0.459,16.7,0.531,16.2,0.214,15.6,True,PASSED
Aaron Nesmith,2026-01-02,SELL_HIGH,0.374,29.2,0.432,28.2,0.403,15.6,True,PASSED
Aaron Nesmith,2026-01-06,SELL_HIGH,0.386,29.5,0.455,31.6,0.343,17.8,True,PASSED
Aaron Nesmith,2026-01-06,SELL_HIGH,0.382,29.6,0.443,31.8,0.354,15.9,True,PASSED
Aaron Wiggins,2025-12-07,SELL_HIGH,0.473,25.8,0.556,20.8,0.444,17.4,True,PASSED
Aaron Wiggins,2025-12-07,SELL_HIGH,0.48,25.6,0.585,20.8,0.323,22.0,True,PASSED
Aaron Wiggins,2025-12-10,SELL_HIGH,0.486,25.4,0.619,20.4,0.207,27.5,True,PASSED
Aaron Wiggins,2025-12-10,SELL_HIGH,0.481,25.3,0.585,20.4,0.207,21.7,True,PASSED
Aaron Wiggins,2026-01-02,BUY_LOW,0.446,22.4,0.226,18.6,0.515,-49.4,True,PASSED
Aaron Wiggins,2026-01-04,BUY_LOW,0.446,22.5,0.297,21.8,0.484,-33.4,True,PASSED
Aaron Wiggins,2026-01-04,BUY_LOW,0.448,22.4,0.343,23.4,0.432,-23.4,True,PASSED
Ace Bailey,2025-11-18,SELL_HIGH,0.414,20.1,0.551,22.0,0.538,33.1,True,PASSED
Ace Bailey,2025-11-18,SELL_HIGH,0.419,20.2,0.542,21.4,0.52,29.3,True,PASSED
Ace Bailey,2025-11-21,SELL_HIGH,0.423,20.3,0.511,19.6,0.528,20.6,False,PASSED
Ace Bailey,2025-11-21,SELL_HIGH,0.433,20.3,0.512,17.4,0.508,18.2,True,PASSED
Ace Bailey,2025-11-23,SELL_HIGH,0.442,20.3,0.553,19.6,0.473,25.3,True,PASSED
Ace Bailey,2025-11-23,SELL_HIGH,0.44,20.7,0.538,24.0,0.48,22.4,True,PASSED
Ace Bailey,2025-11-30,SELL_HIGH,0.455,21.5,0.538,24.6,0.478,18.3,True,PASSED
Ace Bailey,2025-12-01,SELL_HIGH,0.463,21.8,0.571,25.0,0.404,23.4,True,PASSED
Ace Bailey,2025-12-01,SELL_HIGH,0.463,21.9,0.556,24.8,0.388,20.1,True,PASSED
Adem Bona,2025-11-30,SELL_HIGH,0.556,15.4,0.789,15.8,0.5,42.1,True,PASSED
Adem Bona,2025-11-30,SELL_HIGH,0.544,15.6,0.714,17.2,0.556,31.3,True,PASSED
Adem Bona,2025-12-30,SELL_HIGH,0.556,16.8,0.667,18.2,0.429,20.0,True,PASSED
Ajay Mitchell,2025-11-19,BUY_LOW,0.445,28.1,0.366,28.0,0.5,-17.7,True,PASSED
Ajay Mitchell,2025-11-19,BUY_LOW,0.444,28.1,0.353,28.6,0.609,-20.5,True,PASSED
Ajay Mitchell,2025-11-21,BUY_LOW,0.443,28.1,0.349,28.2,0.644,-21.1,True,PASSED
Ajay Mitchell,2025-11-21,BUY_LOW,0.442,28.0,0.345,27.0,0.682,-22.0,True,PASSED
Ajay Mitchell,2025-11-23,BUY_LOW,0.441,27.9,0.37,26.8,0.703,-16.0,True,PASSED
Ajay Mitchell,2025-11-26,SELL_HIGH,0.461,27.7,0.609,25.4,0.455,32.2,True,PASSED
Ajay Mitchell,2025-11-26,SELL_HIGH,0.462,27.6,0.644,24.4,0.455,39.4,True,PASSED
Ajay Mitchell,2025-11-28,SELL_HIGH,0.464,27.5,0.682,24.2,0.467,46.9,True,PASSED
Ajay Mitchell,2025-12-05,SELL_HIGH,0.467,26.8,0.545,25.4,0.448,16.9,True,PASSED
Ajay Mitchell,2025-12-05,SELL_HIGH,0.466,26.7,0.568,29.0,0.481,21.8,True,PASSED
Ajay Mitchell,2025-12-07,SELL_HIGH,0.466,26.6,0.543,27.8,0.5,16.6,True,PASSED
Ajay Mitchell,2026-01-02,SELL_HIGH,0.478,25.8,0.576,22.4,0.537,20.5,True,PASSED
Ajay Mitchell,2026-01-02,SELL_HIGH,0.48,25.7,0.613,23.4,0.488,27.7,True,PASSED
Ajay Mitchell,2026-01-04,SELL_HIGH,0.482,25.7,0.7,23.8,0.412,45.1,True,PASSED
Ajay Mitchell,2026-01-04,SELL_HIGH,0.482,25.7,0.71,24.6,0.386,47.2,True,PASSED
Ajay Mitchell,2026-01-05,SELL_HIGH,0.481,25.8,0.611,25.4,0.409,26.9,True,PASSED
Ajay Mitchell,2026-01-09,BUY_LOW,0.475,25.9,0.386,28.2,0.514,-18.7,True,PASSED
Al Horford,2025-11-18,BUY_LOW,0.339,21.6,0.28,22.2,0.3,-17.4,True,PASSED
Al Horford,2025-11-18,BUY_LOW,0.339,21.9,0.25,23.0,0.25,-26.2,False,PASSED
Al Horford,2025-12-25,BUY_LOW,0.321,21.5,0.25,19.8,0.576,-22.0,True,PASSED
Alex Caruso,2025-11-26,SELL_HIGH,0.403,18.2,0.565,17.0,0.368,40.3,True,PASSED
Alex Caruso,2025-11-26,SELL_HIGH,0.396,18.4,0.619,17.2,0.412,56.5,True,PASSED
Alex Caruso,2025-11-28,SELL_HIGH,0.389,18.5,0.476,18.0,0.524,22.4,False,PASSED
