player_name,game_date,opponent,proj_pts,proj_ast,proj_reb,actual_pts,actual_ast,actual_reb
AJ Green,2026-01-15,SA,10.3,2.0,2.6,6,1,0
Aaron Wiggins,2026-01-15,HOU,10.0,1.7,3.1,5,0,5
Ace Bailey,2026-01-15,DAL,9.4,1.5,3.2,15,3,5
Ajay Mitchell,2026-01-15,HOU,14.3,3.8,3.5,17,3,5
Al Horford,2026-01-15,NY,6.7,1.9,4.8,5,5,5
Alex Caruso,2026-01-15,HOU,6.5,2.1,2.8,5,2,4
Alperen Sengun,2026-01-15,OKC,22.4,6.2,9.0,14,5,13
Amen Thompson,2026-01-15,OKC,19.0,5.4,7.6,13,3,9
Andrew Wiggins,2026-01-15,BOS,15.7,2.7,4.8,16,4,8
Anfernee Simons,2026-01-15,MIA,13.5,2.4,2.3,39,4,4
Anthony Black,2026-01-15,MEM,15.4,4.0,4.1,21,7,6
Ausar Thompson,2026-01-15,PHO,11.5,2.7,6.4,5,2,6
Bam Adebayo,2026-01-15,BOS,16.3,2.6,9.7,22,5,4
Bobby Portis,2026-01-15,SA,13.1,1.2,7.0,13,3,6
Brandin Podziemski,2026-01-15,NY,11.5,3.2,4.4,19,2,5
Brandon Miller,2026-01-15,LAL,18.9,3.4,4.3,26,5,2
Brandon Williams,2026-01-15,UTA,11.2,3.8,2.8,18,3,2
Brice Sensabaugh,2026-01-15,DAL,9.9,1.5,2.8,27,1,5
CJ McCollum,2026-01-15,POR,18.4,3.8,3.4,20,4,3
Cade Cunningham,2026-01-15,PHO,26.8,10.4,6.8,10,11,4
Caleb Love,2026-01-15,ATL,9.8,2.4,2.7,12,4,3
Caleb Martin,2026-01-15,UTA,1.5,1.1,1.6,14,6,5
Cam Spencer,2026-01-15,ORL,12.0,5.4,2.6,7,11,7
Caris LeVert,2026-01-15,PHO,8.3,2.9,1.7,2,3,3
Carter Bryant,2026-01-15,MIL,1.9,0.2,1.5,2,0,5
Cason Wallace,2026-01-15,HOU,7.3,2.1,3.1,8,2,3
Cedric Coward,2026-01-15,ORL,13.9,2.9,7.3,17,2,3
Chet Holmgren,2026-01-15,HOU,17.4,1.6,8.4,18,1,9
Cody Williams,2026-01-15,DAL,4.2,0.7,1.5,13,0,6
Collin Gillespie,2026-01-15,DET,12.6,4.8,4.2,18,6,2
De'Aaron Fox,2026-01-15,MIL,20.4,6.5,4.2,18,4,4
De'Anthony Melton,2026-01-15,NY,9.3,1.7,2.5,5,2,2
Deandre Ayton,2026-01-15,CHA,13.7,0.8,8.8,12,1,6
Derrick White,2026-01-15,MIA,18.4,5.2,4.4,8,5,6
Desmond Bane,2026-01-15,MEM,19.0,4.5,4.5,13,5,4
Dillon Brooks,2026-01-15,DET,21.7,1.6,3.3,16,1,1
Donovan Clingan,2026-01-15,ATL,10.8,1.8,10.7,9,1,12
Draymond Green,2026-01-15,NY,8.9,5.3,5.8,6,3,5
Duncan Robinson,2026-01-15,PHO,11.8,1.9,2.8,19,0,1
Dwight Powell,2026-01-15,UTA,2.5,1.0,3.0,6,0,7
Dylan Harper,2026-01-15,MIL,10.1,3.7,3.2,13,5,4
