player_name,game_date,opponent,system,proj_pts,proj_ast,proj_reb,actual_pts,actual_ast,actual_reb,notes
AJ Green,2025-11-20,PHI,Enhanced,10.9,1.9,2.5,9,0,6, [GENERALIST] +SPOT_UP+TRANSITION | Efficient (+14% PPP)
AJ Green,2025-11-20,PHI,Enhanced,10.8,1.9,2.5,9,0,6, [GENERALIST] +SPOT_UP+TRANSITION | Efficient (+14% PPP)
Andre Drummond,2025-11-20,MIL,Enhanced,8.2,0.7,9.7,3,1,8, [RIM_RUNNER] +OFF_BALL_CUTTER+POST_UP | Inefficient (-9% PPP) | Score-First Driver
Andre Drummond,2025-11-20,MIL,Enhanced,8.1,0.7,9.5,3,1,8, [RIM_RUNNER] +OFF_BALL_CUTTER+POST_UP | Inefficient (-9% PPP) | Score-First Driver
Anthony Black,2025-11-20,LAC,Enhanced,11.6,2.4,3.1,12,4,4, [GENERALIST] +TRANSITION
Anthony Black,2025-11-20,LAC,Enhanced,11.5,2.4,3.0,12,4,4, [GENERALIST] +TRANSITION
Bobby Portis,2025-11-20,PHI,Enhanced,10.2,1.1,6.1,19,0,8, [GENERALIST] +SPOT_UP | Efficient (+14% PPP) | Score-First Driver | Hustle Guard
Bobby Portis,2025-11-20,PHI,Enhanced,10.2,1.1,6.1,19,0,8, [GENERALIST] +SPOT_UP | Efficient (+14% PPP) | Score-First Driver | Hustle Guard
Bogdan Bogdanović,2025-11-20,ORL,Enhanced,8.5,3.5,3.7,6,3,1, [GENERALIST] | Inefficient (-15% PPP)
Bogdan Bogdanović,2025-11-20,ORL,Enhanced,8.5,3.4,3.8,6,3,1, [GENERALIST] | Inefficient (-15% PPP)
Cam Spencer,2025-11-20,SAC,Enhanced,9.1,3.0,2.0,7,6,2, [GENERALIST] +P&R_HANDLER+TRANSITION | Efficient (+9% PPP)
Cam Spencer,2025-11-20,SAC,Enhanced,8.9,3.0,2.0,7,6,2, [GENERALIST] +P&R_HANDLER+TRANSITION | Efficient (+9% PPP)
Cedric Coward,2025-11-20,SAC,Enhanced,14.7,2.9,7.2,19,4,4, [GENERALIST] | Inefficient (-5% PPP) | Hustle Guard
Cedric Coward,2025-11-20,SAC,Enhanced,14.7,2.9,7.1,19,4,4, [GENERALIST] | Inefficient (-5% PPP) | Hustle Guard
Chris Paul,2025-11-20,ORL,Enhanced,2.1,3.1,1.8,4,4,2, [GENERALIST] | Inefficient (-15% PPP) | Score-First Driver
Chris Paul,2025-11-20,ORL,Enhanced,2.0,3.1,1.8,4,4,2, [GENERALIST] | Inefficient (-15% PPP) | Score-First Driver
Cole Anthony,2025-11-20,PHI,Enhanced,8.7,5.2,3.3,5,7,4, [FACILITATOR] | Inefficient (-15% PPP)
Cole Anthony,2025-11-20,PHI,Enhanced,8.5,5.2,3.2,5,7,4, [FACILITATOR] | Inefficient (-15% PPP)
David Jones Garcia,2025-11-20,ATL,Enhanced,3.2,1.5,1.0,12,6,5, [GENERALIST] +OFF_BALL_CUTTER+P&R_ROLL_MAN
David Jones Garcia,2025-11-20,ATL,Enhanced,3.2,1.5,1.0,12,6,5, [GENERALIST] +OFF_BALL_CUTTER+P&R_ROLL_MAN
De'Aaron Fox,2025-11-20,ATL,Enhanced,22.6,6.7,3.2,26,9,5, [GENERALIST] +P&R_HANDLER+ISO_SCORER | Inefficient (-5% PPP) | Elite Playmaker
De'Aaron Fox,2025-11-20,ATL,Enhanced,22.8,6.8,3.2,26,9,5, [GENERALIST] +P&R_HANDLER+ISO_SCORER | Inefficient (-5% PPP) | Elite Playmaker
DeMar DeRozan,2025-11-20,MEM,Enhanced,18.2,3.5,3.3,7,2,0, [GENERALIST] +ISO_SCORER+P&R_HANDLER
DeMar DeRozan,2025-11-20,MEM,Enhanced,18.3,3.5,3.3,7,2,0, [GENERALIST] +ISO_SCORER+P&R_HANDLER
Dennis Schröder,2025-11-20,MEM,Enhanced,11.1,5.9,3.6,3,6,2, [FACILITATOR] | Inefficient (-11% PPP)
Dennis Schröder,2025-11-20,MEM,Enhanced,11.1,6.0,3.6,3,6,2, [FACILITATOR] | Inefficient (-11% PPP)
Desmond Bane,2025-11-20,LAC,Enhanced,16.4,4.5,4.4,15,5,7, [GENERALIST] +P&R_HANDLER+ISO_SCORER | Inefficient (-8% PPP)
Desmond Bane,2025-11-20,LAC,Enhanced,16.5,4.4,4.4,15,5,7, [GENERALIST] +P&R_HANDLER+ISO_SCORER | Inefficient (-8% PPP)
Devin Vassell,2025-11-20,ATL,Enhanced,13.1,2.6,3.5,15,3,5, [GENERALIST]
Devin Vassell,2025-11-20,ATL,Enhanced,13.3,2.6,3.5,15,3,5, [GENERALIST]
Dominick Barlow,2025-11-20,MIL,Enhanced,7.9,2.0,5.3,2,3,6, [GENERALIST] +OFF_BALL_CUTTER+P&R_ROLL_MAN
Dominick Barlow,2025-11-20,MIL,Enhanced,7.9,2.0,5.2,2,3,6, [GENERALIST] +OFF_BALL_CUTTER+P&R_ROLL_MAN
Drew Eubanks,2025-11-20,MEM,Enhanced,5.6,0.3,2.8,9,0,5, [GENERALIST] +P&R_ROLL_MAN+OFF_BALL_CUTTER | Efficient (+9% PPP)
Drew Eubanks,2025-11-20,MEM,Enhanced,5.6,0.3,2.8,9,0,5, [GENERALIST] +P&R_ROLL_MAN+OFF_BALL_CUTTER | Efficient (+9% PPP)
Dyson Daniels,2025-11-20,SAS,Enhanced,9.0,6.1,6.6,8,5,6, [FACILITATOR] +TRANSITION+P&R_ROLL_MAN | Inefficient (-15% PPP) | High Pass Rate | Hustle Guard
Dyson Daniels,2025-11-20,SAS,Enhanced,9.1,5.9,6.5,8,5,6, [FACILITATOR] +TRANSITION+P&R_ROLL_MAN | Inefficient (-15% PPP) | High Pass Rate | Hustle Guard
Franz Wagner,2025-11-20,LAC,Enhanced,23.3,3.6,7.0,20,3,6, [GENERALIST] +TRANSITION+ISO_SCORER | Score-First Driver | Hustle Guard
Franz Wagner,2025-11-20,LAC,Enhanced,23.0,3.7,7.1,20,3,6, [GENERALIST] +TRANSITION+ISO_SCORER | Score-First Driver | Hustle Guard
GG Jackson,2025-11-20,SAC,Enhanced,2.0,0.2,0.5,6,1,9, [GENERALIST] +P&R_ROLL_MAN | Inefficient (-9% PPP) | Score-First Driver
GG Jackson,2025-11-20,SAC,Enhanced,2.0,0.2,0.5,6,1,9, [GENERALIST] +P&R_ROLL_MAN | Inefficient (-9% PPP) | Score-First Driver
Gary Harris,2025-11-20,PHI,Enhanced,2.0,0.5,0.5,3,2,2, [GENERALIST] +OFF_BALL_CUTTER | Efficient (+12% PPP) | Score-First Driver
Gary Harris,2025-11-20,PHI,Enhanced,1.9,0.5,0.5,3,2,2, [GENERALIST] +OFF_BALL_CUTTER | Efficient (+12% PPP) | Score-First Driver
Gary Trent Jr.,2025-11-20,PHI,Enhanced,10.6,1.9,1.6,11,2,0, [GENERALIST] | Score-First Driver
Gary Trent Jr.,2025-11-20,PHI,Enhanced,10.5,1.9,1.6,11,2,0, [GENERALIST] | Score-First Driver
Goga Bitadze,2025-11-20,LAC,Enhanced,5.7,1.3,4.9,10,3,6, [GENERALIST] +OFF_BALL_CUTTER+PUTBACK | Efficient (+14% PPP)
Goga Bitadze,2025-11-20,LAC,Enhanced,5.7,1.3,4.9,10,3,6, [GENERALIST] +OFF_BALL_CUTTER+PUTBACK | Efficient (+14% PPP)
Harrison Barnes,2025-11-20,ATL,Enhanced,12.6,2.0,2.9,16,2,5, [GENERALIST] +SPOT_UP | Score-First Driver
