player,date,is_b2b,proj_pts,actual_pts,diff,notes
Josh Okogie,2025-12-20,False,6.1,9,-2.9000000000000004, [GENERALIST]
Jamal Murray,2025-12-20,False,20.7,16,4.699999999999999, [ELITE_SCORER] +ISO_SCORER+P&R_HANDLER | ISO Tax vs Blitz | P&R Blitz Tax
Kevin Durant,2025-12-20,False,19.6,31,-11.399999999999999, [GENERALIST] +ISO_SCORER+SPOT_UP
Alperen Sengun,2025-12-20,False,22.9,8,14.899999999999999, [HUB_BIG] / JUMBO_CREATOR +TRANSITION | Transition Chaos
Spencer Jones,2025-12-20,False,5.7,9,-3.3, [GENERALIST] +P&R_ROLL_MAN | Roll Man Tax
Jonas Valančiūnas,2025-12-20,False,6.5,10,-3.5, [GENERALIST] +POST_UP+OFF_BALL_CUTTER | Cutter vs Blitz
Amen Thompson,2025-12-20,False,16.2,16,0.1999999999999993, [HUB_BIG] / JUMBO_CREATOR +TRANSITION | Transition Chaos
Bruce Brown,2025-12-20,False,7.3,12,-4.7, [GENERALIST]
Steven Adams,2025-12-20,False,6.4,1,5.4, [GENERALIST] +OFF_BALL_CUTTER+PUTBACK | Hustle Guard
Jalen Pickett,2025-12-20,False,3.2,10,-6.8, [GENERALIST]
Nikola Jokić,2025-12-20,False,23.3,25,-1.6999999999999993, [HUB_BIG] / JUMBO_CREATOR
Reed Sheppard,2025-12-20,False,11.9,28,-16.1, [GENERALIST] +P&R_HANDLER | PnR Handler vs Funnel
Jabari Smith Jr.,2025-12-20,False,14.9,22,-7.1, [STRETCH_BIG] +SPOT_UP
Cameron Johnson,2025-12-20,False,11.8,6,5.800000000000001, [GENERALIST] +SPOT_UP
Tim Hardaway Jr.,2025-12-20,False,10.9,8,2.9000000000000004, [GENERALIST] +SPOT_UP
Neemias Queta,2025-12-20,True,7.8,14,-6.2, [GENERALIST] +OFF_BALL_CUTTER+PUTBACK | Road B2B (Fatigue) | Cutter vs Blitz | Hustle Guard
