id,archived_json,log_json
1626181,"{""player_id"": ""1626181"", ""name"": ""Norman Powell"", ""team"": ""MIA"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 23.8, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""1626181"", ""name"": ""Norman Powell"", ""team"": ""MIA"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 23.8, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
1627739,"{""player_id"": ""1627739"", ""name"": ""Kris Dunn"", ""team"": ""LAC"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 8.3, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""1627739"", ""name"": ""Kris Dunn"", ""team"": ""LAC"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 8.3, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
1627783,"{""player_id"": ""1627783"", ""name"": ""Pascal Siakam"", ""team"": ""IND"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 23.5, ""usg_pct"": 0.2, ""archetype"": ""SLASHER"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""1627783"", ""name"": ""Pascal Siakam"", ""team"": ""IND"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 23.5, ""usg_pct"": 0.2, ""archetype"": ""SLASHER"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
1628371,"{""player_id"": ""1628371"", ""name"": ""Jonathan Isaac"", ""team"": ""ORL"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 2.9, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""1628371"", ""name"": ""Jonathan Isaac"", ""team"": ""ORL"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 2.9, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
1628379,"{""player_id"": ""1628379"", ""name"": ""Luke Kennard"", ""team"": ""ATL"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 7.0, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""1628379"", ""name"": ""Luke Kennard"", ""team"": ""ATL"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 7.0, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
1628381,"{""player_id"": ""1628381"", ""name"": ""John Collins"", ""team"": ""LAC"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 12.5, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""1628381"", ""name"": ""John Collins"", ""team"": ""LAC"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 12.5, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
1628398,"{""player_id"": ""1628398"", ""name"": ""Kyle Kuzma"", ""team"": ""MIL"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 13.0, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""1628398"", ""name"": ""Kyle Kuzma"", ""team"": ""MIL"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 13.0, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
1628978,"{""player_id"": ""1628978"", ""name"": ""Donte DiVincenzo"", ""team"": ""MIN"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 13.3, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""1628978"", ""name"": ""Donte DiVincenzo"", ""team"": ""MIN"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 13.3, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
1628988,"{""player_id"": ""1628988"", ""name"": ""Aaron Holiday"", ""team"": ""HOU"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 7.0, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""1628988"", ""name"": ""Aaron Holiday"", ""team"": ""HOU"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 7.0, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
1629006,"{""player_id"": ""1629006"", ""name"": ""Josh Okogie"", ""team"": ""HOU"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 6.5, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""1629006"", ""name"": ""Josh Okogie"", ""team"": ""HOU"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 6.5, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
