player,game_date,signal,season_fg,l5_fg,n5_fg,deviation,regression_occurred,regression_strength
AJ Green,2025-11-12,BUY_LOW,0.5,0.412,0.455,-17.6,True,0.52
AJ Green,2025-11-14,BUY_LOW,0.488,0.367,0.463,-24.8,True,0.2
AJ Green,2025-11-15,BUY_LOW,0.488,0.333,0.442,-31.7,True,0.3
AJ Green,2025-11-17,BUY_LOW,0.49,0.406,0.462,-17.0,True,0.34
AJ Green,2025-12-05,SELL_HIGH,0.5,0.581,0.306,16.3,True,2.39
AJ Green,2025-12-23,BUY_LOW,0.471,0.371,0.357,-21.1,False,1.14
AJ Green,2025-12-26,BUY_LOW,0.462,0.286,0.367,-38.1,True,0.54
AJ Green,2025-12-27,BUY_LOW,0.466,0.306,0.262,-34.5,False,1.27
AJ Green,2025-12-29,BUY_LOW,0.456,0.317,0.317,-30.5,False,1.0
AJ Green,2025-12-31,BUY_LOW,0.453,0.31,0.357,-31.7,True,0.67
AJ Green,2026-01-02,BUY_LOW,0.45,0.357,0.405,-20.7,True,0.49
Aaron Holiday,2025-12-03,BUY_LOW,0.407,0.321,0.6,-21.1,True,2.24
Aaron Holiday,2025-12-06,BUY_LOW,0.438,0.364,0.481,-17.0,True,0.58
Aaron Holiday,2025-12-18,SELL_HIGH,0.459,0.6,0.214,30.6,True,1.74
Aaron Holiday,2025-12-20,SELL_HIGH,0.456,0.571,0.167,25.3,True,2.51
Aaron Holiday,2025-12-25,BUY_LOW,0.442,0.368,0.143,-16.6,False,4.08
Aaron Holiday,2025-12-27,BUY_LOW,0.434,0.25,0.267,-42.5,True,0.91
Aaron Holiday,2025-12-29,BUY_LOW,0.432,0.214,0.231,-50.4,True,0.92
Aaron Holiday,2026-01-01,BUY_LOW,0.429,0.167,0.211,-61.1,True,0.83
Aaron Nesmith,2025-11-13,SELL_HIGH,0.37,0.434,0.395,17.5,True,0.4
Aaron Nesmith,2025-12-31,SELL_HIGH,0.378,0.46,0.387,21.7,True,0.11
Aaron Wiggins,2025-12-10,SELL_HIGH,0.486,0.562,0.269,15.8,True,2.82
Aaron Wiggins,2025-12-28,BUY_LOW,0.452,0.269,0.438,-40.4,True,0.08
Ace Bailey,2025-11-11,SELL_HIGH,0.353,0.444,0.558,25.9,False,2.24
Ace Bailey,2025-11-13,SELL_HIGH,0.383,0.488,0.531,27.5,False,1.41
Ace Bailey,2025-11-16,SELL_HIGH,0.415,0.52,0.51,25.3,True,0.9
Ace Bailey,2025-11-18,SELL_HIGH,0.414,0.51,0.51,23.2,True,1.0
Ace Bailey,2025-11-21,SELL_HIGH,0.423,0.519,0.549,22.6,False,1.31
Ace Bailey,2025-11-23,SELL_HIGH,0.442,0.558,0.509,26.3,True,0.58
Ace Bailey,2025-11-24,SELL_HIGH,0.438,0.531,0.51,21.0,True,0.78
Ace Bailey,2025-12-01,SELL_HIGH,0.463,0.549,0.375,18.6,True,1.02
Ace Bailey,2025-12-18,BUY_LOW,0.436,0.352,0.444,-19.3,True,0.1
Ajay Mitchell,2025-12-02,SELL_HIGH,0.462,0.564,0.519,22.1,True,0.55
Ajay Mitchell,2025-12-05,SELL_HIGH,0.467,0.629,0.472,34.7,True,0.03
Ajay Mitchell,2026-01-04,SELL_HIGH,0.482,0.585,0.455,21.3,True,0.27
Al Horford,2025-11-21,SELL_HIGH,0.338,0.393,0.424,16.1,False,1.58
Al Horford,2025-12-25,BUY_LOW,0.321,0.25,0.471,-22.0,True,2.13
Al Horford,2026-01-02,SELL_HIGH,0.367,0.424,0.438,15.5,False,1.23
Alex Caruso,2025-11-23,SELL_HIGH,0.391,0.48,0.478,22.9,True,0.98
Alex Caruso,2025-11-26,SELL_HIGH,0.403,0.5,0.458,24.1,True,0.57
Alex Caruso,2025-12-13,SELL_HIGH,0.397,0.526,0.361,32.4,True,0.28
Alex Caruso,2025-12-18,SELL_HIGH,0.414,0.478,0.344,15.6,True,1.09
Amen Thompson,2025-12-20,SELL_HIGH,0.493,0.567,0.582,15.1,False,1.2
Amen Thompson,2025-12-23,SELL_HIGH,0.499,0.603,0.641,21.0,False,1.36
Amen Thompson,2025-12-25,SELL_HIGH,0.504,0.607,0.583,20.3,True,0.77
Amen Thompson,2025-12-27,SELL_HIGH,0.51,0.657,0.53,28.7,True,0.14
Amen Thompson,2026-01-01,SELL_HIGH,0.511,0.613,0.526,20.0,True,0.15
Amen Thompson,2026-01-03,SELL_HIGH,0.52,0.641,0.506,23.2,True,0.11
Andre Drummond,2025-11-30,BUY_LOW,0.55,0.455,0.52,-17.4,True,0.31
Andre Drummond,2025-12-02,BUY_LOW,0.554,0.44,0.48,-20.6,True,0.65
Andre Drummond,2025-12-19,BUY_LOW,0.53,0.391,0.467,-26.2,True,0.46
Andre Drummond,2025-12-20,BUY_LOW,0.532,0.448,0.44,-15.8,False,1.1
Andre Drummond,2025-12-23,BUY_LOW,0.528,0.433,0.462,-17.9,True,0.7
Andre Drummond,2025-12-28,BUY_LOW,0.519,0.438,0.429,-15.7,False,1.11
Andrew Nembhard,2025-12-12,SELL_HIGH,0.435,0.531,0.403,22.1,True,0.34
Andrew Nembhard,2025-12-14,SELL_HIGH,0.433,0.507,0.384,17.2,True,0.66
Andrew Wiggins,2025-11-19,BUY_LOW,0.484,0.397,0.459,-18.0,True,0.29
Andrew Wiggins,2025-11-29,BUY_LOW,0.475,0.37,0.507,-22.1,True,0.31
Andrew Wiggins,2025-12-01,BUY_LOW,0.487,0.4,0.485,-17.9,True,0.03
Andrew Wiggins,2025-12-26,BUY_LOW,0.468,0.393,0.507,-16.0,True,0.52
Andrew Wiggins,2025-12-27,BUY_LOW,0.471,0.39,0.493,-17.2,True,0.27
Anfernee Simons,2025-11-26,SELL_HIGH,0.448,0.523,0.426,16.6,True,0.31
Anfernee Simons,2025-11-29,SELL_HIGH,0.438,0.537,0.477,22.6,True,0.4
Anfernee Simons,2025-11-30,SELL_HIGH,0.439,0.571,0.444,30.2,True,0.04
Anfernee Simons,2025-12-02,SELL_HIGH,0.447,0.558,0.367,24.6,True,0.73
Anfernee Simons,2025-12-04,SELL_HIGH,0.452,0.533,0.327,18.1,True,1.54
Anfernee Simons,2025-12-15,BUY_LOW,0.433,0.367,0.404,-15.1,True,0.44
Anfernee Simons,2025-12-19,BUY_LOW,0.43,0.327,0.407,-24.0,True,0.22
Anthony Black,2025-11-12,BUY_LOW,0.452,0.368,0.529,-18.4,True,0.94
Anthony Black,2025-12-09,BUY_LOW,0.454,0.358,0.444,-21.1,True,0.1
