player,game_date,signal,season_fg,season_min,l5_fg,l5_min,n5_fg,deviation,regression_occurred,filter_status
AJ Green,2025-11-15,BUY_LOW,0.488,27.5,0.333,28.2,0.442,-31.7,True,UNFILTERED
AJ Green,2025-11-17,BUY_LOW,0.49,27.4,0.406,26.2,0.462,-17.0,True,UNFILTERED
AJ Green,2025-12-05,SELL_HIGH,0.5,29.6,0.581,33.8,0.306,16.3,True,UNFILTERED
AJ Green,2025-12-23,BUY_LOW,0.471,28.6,0.371,26.6,0.357,-21.1,False,UNFILTERED
AJ Green,2025-12-26,BUY_LOW,0.462,28.5,0.286,25.6,0.367,-38.1,True,UNFILTERED
AJ Green,2025-12-27,BUY_LOW,0.466,28.7,0.306,24.6,0.262,-34.5,False,UNFILTERED
AJ Green,2025-12-29,BUY_LOW,0.456,28.7,0.317,27.2,0.317,-30.5,False,UNFILTERED
AJ Green,2025-12-31,BUY_LOW,0.453,28.6,0.31,27.8,0.357,-31.7,True,UNFILTERED
AJ Green,2026-01-02,BUY_LOW,0.45,28.8,0.357,30.0,0.405,-20.7,True,UNFILTERED
Aaron Holiday,2025-12-03,BUY_LOW,0.407,15.4,0.321,24.4,0.6,-21.1,True,UNFILTERED
Aaron Holiday,2025-12-06,BUY_LOW,0.438,16.4,0.364,25.6,0.481,-17.0,True,UNFILTERED
Aaron Holiday,2025-12-18,SELL_HIGH,0.459,16.7,0.6,20.0,0.214,30.6,True,UNFILTERED
Aaron Holiday,2025-12-20,SELL_HIGH,0.456,16.3,0.571,18.6,0.167,25.3,True,UNFILTERED
Aaron Holiday,2025-12-25,BUY_LOW,0.442,15.9,0.368,12.2,0.143,-16.6,False,UNFILTERED
Aaron Holiday,2025-12-27,BUY_LOW,0.434,15.3,0.25,9.4,0.267,-42.5,True,UNFILTERED
Aaron Holiday,2025-12-29,BUY_LOW,0.432,15.2,0.214,10.0,0.231,-50.4,True,UNFILTERED
Aaron Holiday,2026-01-01,BUY_LOW,0.429,14.8,0.167,8.8,0.211,-61.1,True,UNFILTERED
Aaron Nesmith,2025-12-31,SELL_HIGH,0.378,29.0,0.46,24.2,0.387,21.7,True,UNFILTERED
Aaron Wiggins,2025-12-10,SELL_HIGH,0.486,25.4,0.562,21.8,0.269,15.8,True,UNFILTERED
Aaron Wiggins,2025-12-28,BUY_LOW,0.452,22.9,0.269,16.4,0.438,-40.4,True,UNFILTERED
Ace Bailey,2025-11-16,SELL_HIGH,0.415,20.9,0.52,25.8,0.51,25.3,True,UNFILTERED
Ace Bailey,2025-11-18,SELL_HIGH,0.414,20.1,0.51,24.0,0.51,23.2,True,UNFILTERED
Ace Bailey,2025-11-21,SELL_HIGH,0.423,20.3,0.519,23.8,0.549,22.6,False,UNFILTERED
Ace Bailey,2025-11-23,SELL_HIGH,0.442,20.3,0.558,22.4,0.509,26.3,True,UNFILTERED
Ace Bailey,2025-11-24,SELL_HIGH,0.438,21.1,0.531,23.6,0.51,21.0,True,UNFILTERED
Ace Bailey,2025-12-01,SELL_HIGH,0.463,21.8,0.549,26.0,0.375,18.6,True,UNFILTERED
Ace Bailey,2025-12-18,BUY_LOW,0.436,23.5,0.352,29.2,0.444,-19.3,True,UNFILTERED
Ajay Mitchell,2025-12-02,SELL_HIGH,0.462,26.5,0.564,21.4,0.519,22.1,True,UNFILTERED
Ajay Mitchell,2025-12-05,SELL_HIGH,0.467,26.8,0.629,22.8,0.472,34.7,True,UNFILTERED
Ajay Mitchell,2026-01-04,SELL_HIGH,0.482,25.7,0.585,22.6,0.455,21.3,True,UNFILTERED
Al Horford,2025-11-21,SELL_HIGH,0.338,22.1,0.393,22.4,0.424,16.1,False,UNFILTERED
Al Horford,2025-12-25,BUY_LOW,0.321,21.5,0.25,21.4,0.471,-22.0,True,UNFILTERED
Al Horford,2026-01-02,SELL_HIGH,0.367,20.0,0.424,15.4,0.438,15.5,False,UNFILTERED
Alex Caruso,2025-11-23,SELL_HIGH,0.391,18.6,0.48,14.6,0.478,22.9,True,UNFILTERED
Alex Caruso,2025-11-26,SELL_HIGH,0.403,18.2,0.5,14.4,0.458,24.1,True,UNFILTERED
Alex Caruso,2025-12-13,SELL_HIGH,0.397,18.5,0.526,18.2,0.361,32.4,True,UNFILTERED
Alex Caruso,2025-12-18,SELL_HIGH,0.414,18.8,0.478,19.4,0.344,15.6,True,UNFILTERED
Amen Thompson,2025-12-20,SELL_HIGH,0.493,36.7,0.567,38.2,0.582,15.1,False,UNFILTERED
Amen Thompson,2025-12-23,SELL_HIGH,0.499,37.0,0.603,41.8,0.641,21.0,False,UNFILTERED
Amen Thompson,2025-12-25,SELL_HIGH,0.504,37.0,0.607,40.6,0.583,20.3,True,UNFILTERED
Amen Thompson,2025-12-27,SELL_HIGH,0.51,36.8,0.657,38.2,0.53,28.7,True,UNFILTERED
Amen Thompson,2026-01-01,SELL_HIGH,0.511,36.7,0.613,36.4,0.526,20.0,True,UNFILTERED
Amen Thompson,2026-01-03,SELL_HIGH,0.52,36.5,0.641,33.8,0.506,23.2,True,UNFILTERED
Andre Drummond,2025-11-30,BUY_LOW,0.55,23.4,0.455,24.6,0.52,-17.4,True,UNFILTERED
Andre Drummond,2025-12-02,BUY_LOW,0.554,22.4,0.44,19.0,0.48,-20.6,True,UNFILTERED
Andre Drummond,2025-12-19,BUY_LOW,0.53,21.5,0.391,18.8,0.467,-26.2,True,UNFILTERED
Andre Drummond,2025-12-20,BUY_LOW,0.532,21.9,0.448,21.8,0.44,-15.8,False,UNFILTERED
Andre Drummond,2025-12-23,BUY_LOW,0.528,21.9,0.433,21.8,0.462,-17.9,True,UNFILTERED
Andre Drummond,2025-12-28,BUY_LOW,0.519,21.2,0.438,20.0,0.429,-15.7,False,UNFILTERED
Andrew Nembhard,2025-12-12,SELL_HIGH,0.435,31.1,0.531,31.8,0.403,22.1,True,UNFILTERED
Andrew Nembhard,2025-12-14,SELL_HIGH,0.433,31.4,0.507,32.4,0.384,17.2,True,UNFILTERED
Andrew Wiggins,2025-11-19,BUY_LOW,0.484,32.9,0.397,34.4,0.459,-18.0,True,UNFILTERED
